GLON,VLSR,(OG readout)
0,0.0,0
5,266.60,166.6
6,264.10,164.1
7,262.10,162.1
8,227.90,127.9
9,226.80,126.8
10,228.70,128.7
11,227.60,127.6
12,225.20,125.2
13,226.10,126.1
14,225.10,125.1
15,226.60,126.6
16,227.70,127.7
17,227.30,127.3
18,226.90,126.9
19,226.50,126.5
20,215.90,115.9
21,207.60,107.6
22,194.30,94.3
23,193.40,93.4
24,195.90,95.9
25,196.10, 96.1
26,195.30,95.3
27,176.60,76.6
28,179.30,79.3
29,180.70,80.7
30,183.20,83.2
31,184.10,84.1
32,183.60,83.6
33,185.10,85.1
34,183.20,83.2
35,179.60,79.6
36,177.10,77.1
37,178.70,78.7
38,228.90,128.9
39,233.70,133.7
40,234.10,134.1
41,234.80,134.8
42,233.10,133.1
43,230.20,130.2
44,232.70,132.7
45,233.90,133.9
46,232.50,132.5
47,233.30,133.3
48,232.80,132.8
49,231.20,131.2
50,233.12,133.12
51,231.60,131.6
52,230.20,130.2
53,229.70,129.7
54,228.90,128.9
55,231.06,131.06
56,233.20,133.2
57,232.60,132.60
58,231.50,131.5
59,230.80,130.8
60,230.60,130.6
61,232.40,132.4
62,231.50,131.5
63,231.30,131.3
64,229.30,129.3
65,229.80,129.8
66,230.60,130.6
67,231.80,131.8
68,227.80,127.8
69,227.90,127.9
70,226.80,126.8
71,226.10,126.1
72,229.20,129.2
73,226.40,126.4
74,225.60,125.6
75,224.30,124.3
76,223.90,123.9
77,223.50,123.5
78,224.30,124.3
79,225.20,125.2
80,224.70,124.7
81,223.60,123.6
82,227.60,127.6
83,229.40,129.4
84,225.80,125.8
85,228.50,128.5
86,221.20,121.2
87,223.70,123.7
88,219.20,119.2
89,218.80,118.8
90,218.40,118.4
91,217.30,117.3
92,219.90,119.9
93,216.10,116.1
94,214.80,114.8
95,215.80,115.8
96,214.90,114.9
97,216.50,116.5
98,215.50,115.5
99,213.70,113.7
100,215.70,115.7
101,214.50,114.5
102,215.60,115.6
103,208.00,108.0
104,209.20,109.2
105,210.20,110.2